"","body.of.a.man.found.at.the.bus.stop.in.the.center.of.Chelyabinsk","sentiment"
"602","schedule change because of the relay route in Chelyabinsk","negative"
"603","Troitsk deputy to be tried for extortion","negative"
"604","Chrysostom resident alien face captured while fishing","negative"
"605","man's body fished out of the river in the center of Chelyabinsk","negative"
"606","frame the balcony fell on parked cars in Chelyabinsk","negative"
"607","metallurgist in final match conceded lev","positive"
"608","metallurgist in final match conceded lev news lion","negative"
"609","traveler from Chelyabinsk pour water from the White Sea in the black for the sake of peace in Ukraine","negative"
"610","Chelyabinsk may not be allowed to Turkey because of new requirements for passports","negative"
"611","Dubrovsky demanded this week to finalize the scheme heating Chelyabinsk","negative"
"612","alcohol products and intend to apply the Chelyabinsk quality mark","positive"
"613","Chelyabinsk third time zamesyatsev closed street Vasilevsky","negative"
"614","woman with old son lives at the car wash in Chelyabinsk","negative"
"615","flight in Crimea will not be subject to VAT","negative"
"616","require police to punish relatives of Tyumen had left at the accident scene the driver's body","positive"
"617","familiar with these places do not look for the answer in our forum","negative"
"618","Chelyabinsk threw packets foreign car parking at the landfill site","positive"
"619","expelled from the university resident Chrysostom pay minoboronytysyach rubles","negative"
"620","Dubrovsky supported the project to identify the ideas of youth development in the region","negative"
"621","metallurgist fans on the big screen will show the final match","negative"
"622","Irina Shayk shocked fans photo Easter bunny on a background of the icons","negative"
"623","chelyabinku convicted twice for nonpayment alimentovdetyam","negative"
"624","in crashes izmashin badly damaged old boy","negative"
"625","chelyabinka fined for mat to the police after chase izmashin","negative"
"626","my garden is made in Chelyabinsk routes for summer","negative"
"627","Chelyabinsk month searching for a mental hospital patient","negative"
"628","Zlatoust in prison inmate hanged himself with a sheet","negative"
"629","Magnitogorsk unknown obstrelyalimashin","negative"
"630","coins to celebrate the annexation of the Crimea release Zlatoust gunsmiths","negative"
"631","man and woman were killed in a night fire in Chelyabinsk","negative"
"632","Electrician killed at current Vishnevogorsk GOK","negative"
"633","activists will hold a large-scale cleaning riverside Miass in Chelyabinsk","negative"
"634","Chelyabinsk demolished building built boleelet ago","negative"
"635","You can spend the night in Chelyabinsk hacked","positive"
"636","CTZ on tanks began to prepare for the parade of victory","negative"
"637","poisoned in China tourists from Chelyabinsk hotel filed a claim","negative"
"638","Chrysostom was shrouded in smoke from burning landfill","negative"
"639","and you signed for email newsletters oblru","negative"
"640","Chelyabinsk unknown snatched from the hands passer package smilliona rubles","negative"
"641","died","negative"
"642"," former head of the school car","negative"
"643","voices from the past will be performed in the air holes","negative"
"644","resident Trekhgorny pohitilatysyach card colleagues","negative"
"645","Chelyabinsk theaters mourn actor Alexander Lenkova","negative"
"646","Chelyabinsk detained at the station for a Man with mace","negative"
"647","chelyabinka death of two children huddling in Yaroslavl provedetlet colony","negative"
"648","Now our oblru","negative"
"649","Investigators detained a suspect in the murder spustyalet","negative"
"650","child on a bicycle was run over foreign cars in Chelyabinsk","negative"
"651","introduced in Russia fine for voditeleytihohodov","negative"
"652","Vladimir Putin introduced a bill to create a gambling zone in Crimea","negative"
"653","Magnitogorsk resident doctors grossly denied assistance after a tick bite","positive"
"654","truck cabs zaplatyattysyach for the destruction of the fence and verandas","negative"
"655","unknown mined brick school Miass","negative"
"656","old boy died after inhaling gas from a container","positive"
"657","woman beaten old son rolling pin on face and hands","negative"
"658","molotov cocktails arsonists destroyed the offices of assistant prosecutor","negative"
"659","forest fires occurred in the Chelyabinsk region","negative"
"660","South Urals students started early to pass CSE","negative"
"661","Dubrovsky attend a meeting of the State Council of the Presidential Council for implementations","negative"
"662","pochtichelyabinska cleared during the first Subbotniks","negative"
"663","young couples get married on the red hill in the Chelyabinsk region","negative"
"664","heating in Chelyabinsk shut off no earlier than one week","negative"
"665","Chelyabinsk cleared of ticks for Victory Day","negative"
"666","year-old girl drowned in a bucket under KARTALY","negative"
"667","the prosecutor's office in Chelyabinsk torched molotov cocktails","negative"
"668","double Chelyabinsk meteorite flew over Murmansk","negative"
"669","chelyabinets stabbed himself with a knife at Easter","negative"
"670","Two people died in a fire garden in Chelyabinsk","negative"
"671","metallurgist equalized in the final series with the left","negative"
"672","metallurgist equalized in the final series with the left n <U+FFFD>","negative"
"673","for the sale of alcohol at night will block sites and penalize","negative"
"674","strongvumen marina kigeleva perform at the Olympics in judo","negative"
"675","part of the nuclear submarine turned into a museum in Chelyabinsk","negative"
"676","Take pictures with fans before the match Gagarin Cup metallurgist","negative"
"677","Dubrovsky - search engines is our common duty - to name all the characters by name","negative"
"678","people were killed in a clash ipostradali frets with fencing","negative"
"679","Easter in Chelyabinsk with newborn children came to the procession","negative"
"680","telachelovek found in a burned-out house garden","negative"
"681","Lada passenger was killed in an accident with a foreign car drunk guy","negative"
"682","Metropolitan Theophan the face gentlemen borders do not matter","negative"
"683","Chelyabinsk blogger made spring be scenes of birds on the trough","positive"
"684","Winners of the competition will receive the glory of man labor badges manu","negative"
"685","Police rescued a resident of Bredow fell through ice","positive"
"686","in the spring of denied information about the sale of assets Jurevicha","negative"
"687","Gattarova proposed bill to protect subscribers from smsspama supported","negative"
"688","Tourists from Chelyabinsk and Yekaterinburg hospitalized with poisoning in Thailand","negative"
"689","recidivist of Kyshtym was sentenced for violence and the risk of contracting HIV","negative"
"690","ck inspects into the discovery of human remains in Kopejsk","negative"
"691","two-meter egg for Easter will paint graffiti in Chelyabinsk","positive"
"692","Congratulations to the winners vesnaeto","negative"
"693","after calling chelyabinki ONF Putin said on strengthening control for utilities","negative"
"694","Boris Dubrovsky recommend ustkatavu ase and develop tourism","positive"
"695","metallurgist final series began with a lion with a defeat","positive"
"696","Easter in all the churches will be held in Chelyabinsk consecration of Easter cakes and evening theologian","negative"
"697","Bloggers opened the first bike path in Chelyabinsk","negative"
"698","buyer in the formation of a jewelry store robber held","negative"
"699","Boris Dubrovsky recommend ase and develop aeronautics ustkatavu","negative"
"700","Victory Day in the Chelyabinsk region will put in order memorials military glory","negative"
"701","hocheshbileta birthday dispenser slides","negative"
"702","Kopeyskoye police revealed new facts shelling of private homes","negative"
"703","house chelyabinki complained to Putin found violations","positive"
"704","miasets requires compensation for the fallen pillar on the car","negative"
"705","first regional plays ticket to the final of the Gagarin Cup","negative"
"706","after the ban on entry to Ukraine on the border launched svyshero","negative"
"707","Chelyabinsk zoo fallen out of the nest squirrel","negative"
"708","No questions chelyabinka Putin almost half of their pension plans I spend on","negative"
"709","Chelyabinsk students will play on the longest piano zamillionov","negative"
"710","Chelyabinsk region recommended fishermen no longer go on the ice","negative"
"711","Chelyabinsk students will play on the longest piano zamillionov","negative"
"712","Defense Ministry requires resident zlatoustatysyach rubles because of contributions from the university","negative"
"713","Chelyabinsk rescued an injured owl from flocks of crows","negative"
"714","Kishtim weather predicts cat Boniface","negative"
"715","hocheshbileta birthday dispenser slides","negative"
"716","drunk man fell asleep while stealing mercedes Magnitogorsk","negative"
"717","next to the dead boy found in Chelyabinsk gas canister","negative"
"718","fsb dealers transporting drugs covered with prunes and apricots","negative"
"719","Explosives office checked Magnitogorsk because of old shoes","negative"
"720","Miass old boy knocked down a woman","negative"
"721","year old girl for the fall in prisudilitysyach livnevka","negative"
"722","Chelyabinsk old child died for unknown reasons","negative"
"723","Two people died in a fire in Troitsk","negative"
"724","Attorney General's office keeps a check on the complaint of a resident of Chelyabinsk region Vladimirov","negative"
"725","malchikiilet gone Zlatoust","negative"
"726","first regional plays ticket to the final of the Gagarin Cup","negative"
"727","Boris Dubrovsky analyzed the unemployment situation in Chelyabinsk","negative"
"728","locked on the balcony rescued kitten","negative"
"729","Putin said that Obama would have saved him if he was drowning","positive"
"730","Miass missing student found in other","negative"
"731","hocheshbileta birthday dispenser slides","negative"
"732","m on the track in head-on collision with a truck driver crashed frets","negative"
"733","Chelyabinsk residents voted against changing the face scarlet field","negative"
"734","entrepreneurs develop its program for the development strategy of the Chelyabinsk","negative"
"735","See ceychas site oblru onlayntranslyatsiyu Rudolfinum spring students","negative"
"736","in the Leninsky district of Chelyabinsk road closed for a week","negative"
"737","the issue of transfer of motor city schools will be decided in June","negative"
"738","Chelyabinsk region resident complained to Putin on high utility tariffs","negative"
"739","Vladimir Putin has promised to marry a former spouse after marriage","negative"
"740","Chelyabinsk region resident complained to Putin on high utility tariffs","negative"
"741","chelyabinets gained recognition through the court date for the army","negative"
"742","impulse heating pipes in the northwest of Chelyabinsk eliminate the evening","negative"
"743","hooligans robbed resident Chrysostom and threw him into the well","negative"
"744","chelyabinets CUOA sentenced in prison for fraud from prison","negative"
"745","Vladimir Putin called nonsense statements west of the Russian military in Ukraine","negative"
"746","year-old boy ran away from home in the forest under Kyshtym","negative"
"747","Magnitogorsk resident can not take his father's remains because of the crisis in Ukraine","negative"
"748","minibus was hit by a pensioner in the center of Chelyabinsk","negative"
"749","Miass second day of searching for missing student","negative"
"750","af Bank ceased operations in Chelyabinsk on deposits because of license revocation","negative"
"751","Chelyabinsk residents drove around the city with a homemade gun in the car","negative"
"752","people were injured in the collision of two way in Chelyabinsk","negative"
"753","considered dead kopeychanin again sues officials","negative"
"754","Chelyabinsk regional fund assets topped Pauline graph","negative"
"755","police found a man's body in the river murdered six months ago","negative"
"756","zoozaschitniki cpasayut kitten trapped on the balcony","negative"
"757","mites in the Southern Urals pokusalichelovek","negative"
"758","Gagarin Cup delivered to the matches magnitogorsk metallurgist","negative"
"759","man's body fished out of the quarry in Chelyabinsk","negative"
"760","hocheshbileta birthday dispenser slides","negative"
"761","days left before the May holidays","positive"
"762","blossomed in the formation of first spring flowers","negative"
"763","See Today Online oblru onlayntranslyatsiyu Rudolfinum spring studio","negative"
"764","unidentified persons fired at a private home in Kopejsk","negative"
"765","billion rubles earned BPC deputies and their spouses pa","negative"
"766","Easter of orphans will sell for a teenager with cancer treatment","negative"
"767","Chelyabinsk region because of the rush of the dam flooded the whole village","negative"
"768","Chelyabinsk region banned religious organization horde","negative"
"769","popular bloggers registered as media","negative"
"770","pupils tractor won the junior hockey league","negative"
"771","Senators approved the law on simplified citizenship","negative"
"772","Moscow court upheld custody lawyer komarova","negative"
"773","detention center in Chelyabinsk will nadeportiruemyh","negative"
"774","Miassky lawyer killed pensioner and settled with his family in her apartment","positive"
"775","debris will be removed from Chelyabinsk to the landfill in Poletaevo","negative"
"776","on m under Chrysostom faced four wagons","negative"
"777","Kopejsk appear in a special detention nadeportiruemyh","negative"
"778","police are seizing documents on the case of Andrei CHEP komarova","negative"
"779","and you signed for email newsletters oblru","negative"
"780","Dr. Zemsky program takes physicians at the top Ufaleya","negative"
"781","in CSU denied rumors about the resignation of the rector Andrew Shatina","negative"
"782","Satka arrested brewery stoimostyumillionov rubles","negative"
"783","United Russia is ready to support the non-partisan elected governor dubrovs","negative"
"784","comprehensive emergency notification system to develop the fly","negative"
"785","Chelyabinsk region recorded the first wildfires","negative"
"786","drunken men tried to kidnap flags from the building of a political party","negative"
"787","Dubrovsky award winners glorify human labor","negative"
"788","resident of the house contains ustkatava boleesobak","negative"
"789","year-old woman jumped out the window in Chelyabinsk","negative"
"790","two employees of Railways answer for skhodvagonov under Chrysostom","negative"
"791","Fans metallurgist charter sent to finals matches in prague","negative"
"792","Playbill events Chelyabinsk","negative"
"793","Emanzhelinsk grozitlet deputy prison for fraud","negative"
"794","in the center of Chelyabinsk nearly demolished a historic building of the early twentieth century","negative"
"795","miasets remained dissatisfied vyplatoyrubley for pita with mold","negative"
"796","body of a man found near the road in the area Sosnovskoye","negative"
"797","intruder broke the police for the minutes","negative"
"798","Artur Nikitin sell for debts complexes Nikitinsky and kc","negative"
"799","Artur Nikitin sell for debts complexes Nikitinsky and kc","negative"
"800","experts found no abnormalities in drinking water Yuzhnouralsk","negative"
"801","Chrysostom resident fell under a freight train on the way to fishing","neutral"
"802","student fell through the ice on the lake collected stones","negative"
"803","playground with concierge appears in Chelyabinsk","negative"
"804","'s first regional show onlayntranslyatsiyu Rudolfinum spring his student","negative"
"805","trehlapy duckling grown on the farm Troitsk","negative"
"806","hijacked a car chrysler c belongs lounge limousine","neutral"
"807","with stolen car belongs chryslerc lounge limousine","negative"
"808","Russ Powers duhovnorodovoy leaders will be judged for extremism","negative"
"809","miasets prosiltysyach rubles for not sold by credit batteries","negative"
"810","Dubrovsky supported the development of the diesel engine and SUSU chtzuraltrak","negative"
"811","in a collision frets and ford old child suffered","negative"
"812","Volunteers rescue a wounded Miassa Crossbow dog","negative"
"813","old schoolboy fell through the ice on the first lake in Chelyabinsk","negative"
"814","Ural zipper closes public skating season all summer","negative"
"815","mother of two children killed pensioner because of the outstanding loan","positive"
"816","head of the kindergarten fictitiously hired a son","negative"
"817","two residents of the Chrysostom zaplatyattysyach rubles for dead deer","negative"
"818","from Boris Dubrovsky father died","negative"
"819","Captain metallurgist named the best forward the Conference Finals","negative"
"820","Dubrovsky signed in Moscow an agreement on financing the construction of the South TLC","neutral"
"821","Miassa resident sued the restaurant thousand rubles per pita with mold","negative"
"822","from Boris Dubrovsky father died","negative"
"823","driving school instructor from Magnitogorsk familiar chain chained to a pipe","negative"
"824","man brought a pint of mercury to the village administration","negative"
"825","Chelyabinsk old vagabond with hijacked car chrysler c","negative"
"826","Yevgeny Kuznetsov Russia to play for the national team at the World Championships","negative"
"827","chelyabinets found in his garage warehouse grenades and detonators","negative"
"828","Troitsk head held a masterclass for public utilities Cleaning","negative"
"829","first exhibition of paintings from the skin opened in Chelyabinsk","negative"
"830","health facilities will be repaired during the year in Chelyabinsk","positive"
"831","Crane under Kopeisk could collapse because of sagging ground","positive"
"832","Dmitry Rogozin","positive"
"833"," has reported on the trip to the South Urals via twitter","negative"
"834","Passers-by chance a wounded police released from hospital","negative"
"835","chelyabinets with a phenomenal memory simultaneously osvoityazykov","negative"
"836","ck inspects into the death of the chief of the regional prosecutor's office","negative"
"837","minute operation to extract the driver of the crane crashed videotaped","negative"
"838","year of death orphans Chebarkul hit at a crosswalk on video","negative"
"839","Now Online","negative"
"840","Putin himself at once raised the salary and the Prime Minister","negative"
"841","spaslabratev old girl and sisters in the fire","negative"
"842","Serebrennikov impute natysyach bribe from athletes Ozersk","negative"
"843","landscaping project Chelyabinsk present nametrah Kirovka","negative"
"844","young mother was given a suspended sentence for maintaining a brothel","negative"
"845","Chelyabinsk cleared of advertising on poles","negative"
"846","Chebarkul old orphan death knocked on the crosswalk","negative"
"847","Sergei Davydov debris in Chelyabinsk became less","negative"
"848","crane with a machinist fell under construction Kopeisk","negative"
"849","passenger car crashed into an ambulance on the track","negative"
"850","slivatel fuel ride on the hood of a woman in Chelyabinsk","negative"
"851","two men fell out of the window at the Komsomol prospectus","negative"
"852","driver killed overturned on the road Korkino","negative"
"853","police accidentally shot passers during the pursuit of the offender","negative"
"854","year-old boy found dead in the yard in Troitsk","negative"
"855","Dmitry Rogozin","negative"
"856"," to protect themselves from Chelyabinsk meteorite was impossible","negative"
"857","motorcyclist knocked to death an elderly woman in Chelyabinsk","negative"
"858","bloggers have discovered a serious increase in the prices of meat and eggs in Miass","negative"
"859","Drunk man threatened terrorist attack Chrysostom","negative"
"860","Police freed hostage held in Chelyabinsk","positive"
"861","body of a man found in the river in the center of Chelyabinsk","negative"
"862","the company will pay for sotrudnitsetysyach severed fingers","negative"
"863","in chelyabinsketysyachi people were left without electricity","negative"
"864","Orthodox Christians celebrate Palm Sunday","negative"
"865","Chebarkul near the houses exploded gas boiler","negative"
"866","Konstantin Panov's team won the match with tractor fans","negative"
"867","Dmitry Rogozin","negative"
"868"," the defense industry - it is not new equipment this person","negative"
"869","see now online oblru onlayntranslyatsiyu match tractor bolelschi","negative"
"870","anton Glinkin tractor forward scored the first points for the team Russia","negative"
"871","Police looking for missing Kyshtym old boy","neutral"
"872","Chelyabinsk residents cosmic photo essay on oblru","negative"
"873","arrived in Chelyabinsk Deputy Prime Minister Dmitry Rogozin","negative"
"874"," Russia","negative"
"875","Miass narcotics police arrested drug dealers skilogramma","negative"
"876","in Kasli district police opened fire to disperse the crowd","positive"
"877","See today online oblru onlayntranslyatsiyu match tractor bolelsch","negative"
"878","metallurgist became the champion of Russia and reached the final of the Gagarin Cup","negative"
"879","Polar Bears won the bronze medal in the championship MHL","positive"
"880","see now online oblru onlayntranslyatsiyu match vs polar bears to","negative"
"881","puppet theater first staged with actors starring","positive"
"882","Court ordered the administration to repair roads Chelyabinsk","negative"
"883","Ukrainians received permission to live in the Chelyabinsk region","negative"
"884","received a blood transfusion station survey technique for donors","negative"
"885","and you signed for email newsletters oblru","negative"
"886","Chelyabinsk knocked old schoolgirl and drunken pensioner","negative"
"887","during a search in the administration of seized documents Ozersk sports management","positive"
"888","Chelyabinsk region will establish a working group to combat voditelyaminelegalami","negative"
"889","old boy jumped out of the police department died","negative"
"890","detained for distributing leaflets suspected Hizb uttahrir new n","negative"
"891","Mobile operators are obliged to cancel bonuses subscribers","neutral"
"892","Magnitogorsk convicted drug dealer hid amphetamine large banks","negative"
"893","in Verkhneuralsk district died in his sleep month old baby","negative"
"894","family took the wiring and a veranda with eviction from the house of a stranger","negative"
"895","foreigner killed in an accident on the highway involving drunk avtoledi","negative"
"896","South Urals region chapter began sending photos with landscape disasters","negative"
"897","taxi driver at fault in the death of a child poluchilgoda summer colony","negative"
"898","plastovskie craftswomen weave carpets based on cartoons","negative"
"899","fire in the night ase postradalicheloveka baby in intensive care","negative"
"900","See today online oblru onlayntranslyatsiyu match vs Red Army","negative"
"901","passenger bus Faced with KAMAZ died in hospital","neutral"
"902","in etkulskom area year-old man drowned in a pool","negative"
"903","terminally ill pensioner shot of shotgun","negative"
"904","foreigner killed in an accident on the road because of drunk avtoledi","negative"
"905","Magnitogorsk will remove advertising windows seminude girl","negative"
"906","Highway near Chelyabinsk burned MAN with a refrigerator","negative"
"907","drunk chebarkulets attacked a police patrol car in","negative"
"908","polar bears re-ceded the Red Army in the semifinals","positive"
"909","trinity engineer gathered antigravity chair","negative"
"910","see now online oblru onlayntranslyatsiyu match vs Red Army used","positive"
"911","Miass robber took the victim hostage","positive"
"912","Dubrovsky Karabash recommended to get rid of the title of the dirtiest city","negative"
"913","residents of Chelyabinsk region may ask Vladimir Putin","negative"
"914","Passenger injured in collision of two minibuses in Chelyabinsk","negative"
"915","Boris Dubrovsky public figures help bring order to the cities","negative"
"916","Chelyabinsk region not hvataetinspektora to combat poachers","negative"
"917","Company Chelyabinsk region said the reduction in boleesotrudnikov","negative"
"918","fell from the second floor old girl was discharged from hospital","negative"
"919","and you signed for email newsletters oblru","negative"
"920","old girl spent the night on the street after returning to the family from a shelter","negative"
"921","missing Kartaly old child found with relatives","negative"
"922","Chelyabinsk region will resume spring hunting","neutral"
"923","CVO recruitment office called to serve in the army deputy","negative"
"924","the new coach of the tractor was Alexander Shakhvorostov","negative"
"925","man robbed a pensioner to pay his victims in court","negative"
"926","tractor will close the season match with fans","negative"
"927","chelyabinke face arrest and a fine for lzhepokazaniya about the fight with the neighbors","positive"
"928","Kishtim climber fell from the fifth floor height","negative"
"929","Troitsk deputies unanimously approved the resignation of Victor Schekotova","negative"
"930","Kusa in TB patients through the court ordered to go to hospital","negative"
"931","See today online oblru onlayntranslyatsiyu match vs Red Army","negative"
"932","in the Chelyabinsk Region Government established the Commission for Assistance to Crimea","negative"
"933","Chelyabinsk at Boeing flew escheelitnyh pigs from Canada","negative"
"934","old girl spent the night on the street because of carelessness stepfather","negative"
"935","Now our oblru poster Chelyabinsk Thursday","negative"
"936","Magnitogorsk resident faces sentence for knife attack on Oleg Shein","negative"
"937","sleeping smoker rescued from a burning elevator","negative"
"938","banknotes advertising spread in Chelyabinsk","negative"
"939","girl fell into an open manhole in Zlatoust","negative"
"940","avtoledi hit two schoolgirls on a zebra in Magnitogorsk","negative"
"941","foreign car caught fire under the timber rammed Chelyabinsk have died","negative"
"942","year-old child left home in Kartaly","positive"
"943","residents Trekhgorny vyvezut garbage back","negative"
"944","metallurgist again beat Salavat Yulaev semifinal series","positive"
"945","street straight month partially closed because of road repair","positive"
"946","in the upper Ufalei old girl survived a fall from the second floor","negative"
"947","Boris Dubrovsky opened its first logistics center in Chelyabinsk region","negative"
"948","stash of heroin found in a gazebo kindergarten","negative"
"949","found in the basement of a house in Zlatoust grenades were fighting","negative"
"950","residents of the Chelyabinsk region suffered from tick bites","negative"
"951","arrested in the Maldives chelyabinku accused of having links with major European on","negative"
"952","Su took over management control with PE paralyzed ashintsem","negative"
"953","Drama remained without artistic director after the premiere","negative"
"954","residents of Dnipropetrovsk returned with his family to his home in the Chelyabinsk region","negative"
"955","tractor has signed a new contract with striker Bulis","negative"
"956","MP threatened bailiffs evicted from his apartment Defense Ministry","negative"
"957","Dubrovsky excoriated heads for disaster landscape","negative"
"958","CSE will be removed from the test part in all subjects","negative"
"959","grozitlet orphans in prison for car theft","negative"
"960","cyanide in the reservoir exceeds the norm Yuzhnouralsk","negative"
"961","culprit rush to pay water line Iremel miassutysyach rubles","negative"
"962","rowdy threw a bag with a bomb to the Government of the Chelyabinsk region","negative"
"963","Chelyabinsk artist paints a triptych with a meteorite Chelyabinsk","negative"
"964","avtoledi summer died in a collision with a gazelle","negative"
"965","unknown cars broke the government of Chelyabinsk region","negative"
"966","zemz return to work okolodedov","negative"
"967","Mignard devastate urban residents massively catching fish pond","negative"
"968","peshehodnarushitel died under the wheels hitting the vases on the track","negative"
"969","pensioner stabbed his wife before committing suicide has been registered by a psychiatrist","negative"
"970","Chrysostom resident found in the basement domagranat izapala","negative"
"971","fallen from the second floor could be drunk student","negative"
"972","drunk driver rammed a police car in Magnitogorsk","negative"
"973","pensioner hammered to death with a hammer and old wife hanged","negative"
"974","detainee escapes through the window of the police got on video","negative"
"975","Chelyabinsk disconnect from the heating of the residential houses addresses","negative"
"976","China is willing to import products from the Chelyabinsk region","negative"
"977","Crimea invited youth forum morning in the Southern Urals","negative"
"978","artist painted a picture on the anniversary izportretov Chrysostom","negative"
"979","Ashi resident paralyzed after falling ice from the roof","negative"
"980","alexei Zavarukhin remains in the tractor for another year","negative"
"981","Aquarium in the park on the first CMP zalet closed for repair","negative"
"982","dealer of varna dalilet kontrabandukilogrammov for marijuana","negative"
"983","mp allocate environmental program Enterprise boleemilliardov","negative"
"984","handball locomotive died after a crash at the dam","negative"
"985","Boris Dubrovsky about tominskom GOK to get public support","negative"
"986","Miassky schoolboy crashed after falling from the second floor","negative"
"987","ticket price to the Crimea may fall dotysyach rubles","positive"
"988","in the burned house with stab wounds naydenytela","positive"
"989","Zlatoust unmanaged truck crashed into a house","negative"
"990","FMS in the Chelyabinsk region appointed a new chief","negative"
"991","sports nedelyavypusk otna","negative"
"992","our hokkeyvypusk otna","positive"
"993","Asha district head forbade MOE save frozen into ice ice MOE bus news Bus","positive"
"994","bus passenger injured spine in an accident with a truck citroen news and injury vertebrates","positive"
"995","from Chelyabinsk station will walk new train train transportation news","negative"
"996","Lenin district court was evacuated because of sweatshirts with nails news leninskiyraysud evacuation","positive"
"997","police had beaten a buyer's market faces up fight buyer news","negative"
"998","Fatkulina medalist withdrew from the Russian Championship in Chelyabinsk news olgafatkulina Champion","positive"
"999","thief luxury cosmetics from the store got on video news cosmetics pharmacy theft","positive"
"1000","farmer from the South Urals spread outside Paris ostriches ostrich news paris",""
"1001","on the gas feed Kusa district news pipeline explosion blast",""
"1002","kopeychan CUOA sentenced in prison for stealing news herd herd theft",""
"1003","address issues of staff shortage will be through universities and schools borisdutrovsky news footage",""
"1004","deputy chief of police check the cupola because of salary searches CSU CSU News",""
"1005","Head of Trans-Ural pardoned after imaginary village gasification gasification news amnesty",""
"1006","Spring in the Chelyabinsk region come cherezdney news spring forecast",""
"1007","Chebarkul mayor responded to criticism Boris Dubrovsky news andreyorlov borisdubrovsky CHebarkul",""
"1008","in an abandoned house under the body of a woman found Verhneuralsk news corpse Verhneuralsk",""
"1009","Chelyabinsk temporarily canceled trolleybus number news trolley road repairs",""
"1010","in an abandoned house under the same body found Verhneuralsk <U+FFFD>",""
"1011","See today online oblru onlayntranslyatsiyu match polar bears vs Omsk Hawks cheer",""
"1012","water level in the rivers of the South Urals rise up to one meter",""
"1013","accident downed death schoolboy got news for DVR child death crash",""
"1014","Rescuers launched a website for visually impaired people's rescue news",""
"1015","Rescuers launched a website for visually impaired people's rescue news",""
"1016","thousands of people were left without electricity in electricity Miass Miass news",""
"1017","groundhog predicted from Chelyabinsk zoo news zoo warm spring spring",""
"1018","parents are demanding the return of health workers in kindergartens news providers detskiysad",""
"1019","resident of Donetsk find work in Chelyabinsk news doneck konstantintsybko poiskraboty",""
"1020","rospotrebnazdor desks should not be shortened to the detriment of the child rospotrebnazdor news desks",""
"1021","experience Olympics volunteers will be used at the World Championships in judo news judo volunteers",""
"1022","malicious infringer arranged in Chelyabinsk crash car crash smashinami news",""
"1023","Administration employee accused of fraud natysyachi news fraud administration",""
"1024","for two years zoomanyaka tortured cats brought a criminal case news zoomanyak criminal case",""
"1025","Magnitogorsk afraid because of the epidemic of tuberculosis hospital dismantling the bricks news tuberculosis ppg",""
"1026","Regional Hospital specialists will treat premature infants on the internet news hospital intern",""
"1027","Kartaly put the gas meter to the eternal fire news gazovyyschetchik vechnyyogon",""
"1028","Dog rescued after the crash began to take walks crash rescue dog news",""
"1029","pursuit of a shooting recidivist in Chelyabinsk got on video news video recidivist",""
"1030","in small schools will implement interactive learning news borisdubrovsky interaktivnoeobuche",""
"1031","Chelyabinsk pensioner makes paintings from the peel of apples and bananas news decoupage crafts",""
"1032","invalidutysyach driver paid for hitting a disabled truck crash news",""
"1033","Veterans Hospital chief physician appointed Tatiana Vasilenko news assignment post",""
"1034","near the cemetery under Chebarkul naydenoboepripasov news cemetery shell",""
"1035","in Uiskoe area arrange flashmob all - clean-clean-news flash mob",""
"1036","two ozerchan detained for beating people with a hammer attack Ozersk news",""
"1037","South Urals can learn about debt through debt qrkoda news qrkod",""
"1038","Schoolgirl missing from Kopeysk found in Chelyabinsk unconscious child Kopejsk news search",""
"1039","military arsenal found behind the battery in the children's center of Chelyabinsk news projectile grenades",""
"1040","Vladimir Putin has officially divorced his wife putin divorce news",""
"1041","old retiree invented tractor for snow removal equipment news invention",""
"1042","Chelyabinsk region announced taking inventory of the regional property news borisdubrovs",""
"1043","year-old boy left home in search news Miasse child",""
"1044","circumstances of the death of six-month-girl figure out Chebarkul news baby death",""
"1045","Kopeisk searching for missing schoolgirl with a kitchen knife news girl wanted Kopejsk",""
"1046","in Chelyabinsk shortened school desks at the request of school desks rospotrebnadzor news",""
"1047","Boris Dubrovsky called seen Chebarkul landscape disaster news borisdubrovsky chebar",""
"1048","detainee with the pursuit of a repeat offender threatened weapon DPS news crew recidivist weapons",""
"1049","Roundabout takes Omsk cheeses with sales staff because of bathing in milk news omskiysyr mol",""
"1050","Lenin District residents rescued from spring flood news leninskiyrayon flood Chelyabinsk",""
"1051","Chelyabinsk region began issuing new driving license sample news voditelskieprava",""
"1052","olimpiytsevkonkobezhtsev act Championships in Chelyabinsk Russian news chempionatrossii to",""
"1053","duma proposes to allow police to shoot in crowded places News duma police shooting",""
"1054","in the spring call to defer health will be harder vesenniyprizyv health news",""
"1055","DPS inspectors detained recidivist a chase and shootout in Chelyabinsk news recidivist detained",""
"1056","the captain and the coach left the tractor tractor news Ryabykin",""
"1057","official stole money intended for athletes stealing official money news",""
"1058","contractor Snezhinsk could commit suicide because of family conflict news snezhinsk suicide",""
"1059","South Urals physicians sobralirubley news for residents of Crimea Crimea help",""
"1060","accepting applications for the open auction for the sale of helicopter Jurevicha news helicopter auction",""
"1061","free match fans will visit the polar bears playoff hockey news blyemedvedi",""
"1062","tractor wants to see in their ranks Quinta Yakutseni and Karpova news tractor Quint",""
"1063","Fired at a roadside cafe Chelyabinsk news cafe fire",""
"1064","vzyskalatysyach for assaulting a woman at a construction site news Staffa dog attack",""
